RASMI_Category,Height_Category,Concrete_p_25,Concrete_p_50,Concrete_p_75,Brick_p_25,Brick_p_50,Brick_p_75,Wood_p_25,Wood_p_50,Wood_p_75,Steel_p_25,Steel_p_50,Steel_p_75,Glass_p_25,Glass_p_50,Glass_p_75,Plastics_p_25,Plastics_p_50,Plastics_p_75,Aluminium_p_25,Aluminium_p_50,Aluminium_p_75,Copper_p_25,Copper_p_50,Copper_p_75
NR_M,<=9,121.11,465.24,699.42,727.70,973.36,1294.71,15.24,27.77,40.20,13.71,23.6,28.29,1.46,2,2.28,0.40,1.19,2.85,0.13,0.47,1,0.084,0.2,0.30
NR_C,<=9,811.21,1117.24,1447.15,27.75,63.8,257.19,9.10,26,46.38,23.93,43.9,79.67,1.74,3.18,4.39,0.41,1.36,3.05,0.16,0.51,1.11,0.084,0.19,0.32
NR_C,>9,811.21,1117.24,1447.15,27.75,63.8,257.19,9.10,26,46.38,23.93,43.9,79.67,1.74,3.18,4.39,0.41,1.36,3.05,0.16,0.51,1.11,0.084,0.19,0.32
RM_M,<=9,119.75,238,524,411.81,639.51,964.50,34.44,53.24,59.50,8.12,21.65,40.87,1.37,2,3.00,0.39,1.2,3.00,0.13,0.49,1.07,0.084,0.18,0.27
RM_C,<=9,689,932.54,1148,84,268.75,407.03,6.48,9.9,30.14,31.76,52.6,97,2,3.1,4.21,0.42,1.22,3,0.13,0.5,1.22,0.084,0.18,0.27
RM_C,>9,689,932.54,1148,84,268.75,407.03,6.48,9.9,30.14,31.76,52.6,97,2,3.1,4.21,0.42,1.22,3,0.13,0.5,1.22,0.084,0.18,0.27
